City,Country,place_id,Latitude,Longitude
Abu Dhabi, الإمارات العربية المتحدة,71198752,24.4538352,54.3774014
Abuja, Nigeria,66750984,9.0643305,7.4892974
Accra, Ghana,289735786,5.5571096,-0.2012376
Addis Ababa, ኢትዮጵያ,69405445,9.0358287,38.7524127
Algiers, Algérie ⵍⵣⵣⴰⵢⴻⵔ الجزائر,77184705,36.7753606,3.0601882
Amman, الأردن,72698453,31.9515694,35.9239625
Amsterdam, Nederland,169672125,52.3730796,4.8924534
Ankara, Türkiye,217061809,39.7160439,32.7059948
Antananarivo, Madagasikara / Madagascar,62712762,-18.9100122,47.5255809
Apia, Sāmoa,32804863,-13.8344639,-171.7649144
Ashgabat, Türkmenistan,228117999,37.9404648,58.3823487
Asmara, ኤርትራ Eritrea إرتريا,69991094,15.3389667,38.9326763
Astana, Қазақстан,221483717,51.1282205,71.4306682
Athens, United States,553154,33.9597677,-83.376398
Baghdad, العراق,371843107,33.3061701,44.3872213
Baku, Azərbaycan,211728534,40.163999149999995,50.27770925520258
Bamako, Mali,291439701,12.61326555,-7.984739136241295
Bangkok, ประเทศไทย,254138463,13.8245796,100.6224463
Bangui, Centrafrique,69338686,4.3635118,18.5835913
Banjul, Gambia,291926397,13.45535,-16.575646
Basseterre, Saint Kitts and Nevis,294565492,17.2960919,-62.722301
Beijing, 中国,227132787,39.9057136,116.3912972
Beirut, لبنان,218748619,33.8959203,35.47843
Belgrade, Србија,373096492,44.8178131,20.4568974
Belmopan, Belize,296248860,17.250199,-88.770018
Berlin, Deutschland,159647018,52.5170365,13.3888599
Bern, Schweiz/Suisse/Svizzera/Svizra,109998632,46.9484742,7.4521749
Bishkek, Кыргызстан,221071142,42.8777895,74.6066926
Bissau, Guiné-Bissau,288854134,11.87018055,-15.607704564772728
BogotĂˇ, Colombia,371974160,4.6529539,-74.0835643
Bratislava, Slovensko,199697906,48.15926025,17.139658691421687
Brazzaville, Congo,65582337,-4.1875125,15.262788
Bridgetown, Barbados,291369476,13.0977832,-59.6184184
Brussels, België / Belgique / Belgien,122121338,50.8550018,4.3512333761166175
Bucharest, România,84582223,44.4361414,26.1027202
Budapest, Magyarország,87441800,47.4978918,19.0401609
Buenos Aires, Argentina,47786095,-34.6075682,-58.4370894
Cairo, مصر,75336011,30.0443879,31.2357257
Canberra, Australia,51330975,-35.2975906,149.1012676
Caracas, Venezuela,299321694,10.5060934,-66.9146008
Castries, France,104278437,43.6779101,3.9868904
Chisinau, Moldova,84970360,47.0245117,28.8322923
Colombo, ශ්‍රී ලංකාව இலங்கை,250494260,6.9388614,79.8542005
Conakry, Guinée,288832728,9.5170602,-13.6998434
Copenhagen, Danmark,162263725,55.6867243,12.5700724
Dakar, Sénégal,290218550,14.693425,-17.447938
Damascus, سوريا,218084196,33.5130695,36.3095814
Dhaka, বাংলাদেশ,248159027,23.7644025,90.389015
Dili, Timór Lorosa'e / Timor-Leste,56646766,-8.5536809,125.5784093
Djibouti,Djibouti جيبوتي,69767154,11.8145966,42.8453061
Dodoma, Tanzania,63467499,-6.1791181,35.7468174
Doha, قطر,70541205,25.2856329,51.5264162
Dublin, Éire / Ireland,269314018,53.3493795,-6.2605593
Dushanbe, Тоҷикистон,219936337,38.585694700000005,68.7603746751885
Freetown, Sierra Leone,290477228,8.479004,-13.26795
Funafuti, Tuvalu,53991610,-8.5199633,179.1982548
Gaborone, Botswana,61495410,-24.6581357,25.9088474
Georgetown, Guyana,291582922,6.8137426,-58.1624465
Guatemala City, Guatemala,308676081,14.6424667,-90.5131361
Hanoi, Việt Nam,365556721,21.0283334,105.854041
Harare, Zimbabwe,60695681,-17.8567035,31.0601584
Havana, Cuba,299280487,23.135305,-82.3589631
Helsinki, Suomi / Finland,180863916,60.1674881,24.9427473
Islamabad, پاکستان,221993668,33.6938118,73.0651511
Jakarta, Indonesia,60013596,-6.175247,106.8270488
Jerusalem, ישראל,371206897,31.78847185,35.21879441094499
Kabul, افغانستان,220169217,34.5260109,69.1776838
Kampala, Uganda,68434355,0.3177137,32.5813539
Kathmandu, नेपाल,241736967,27.708317,85.3205817
Khartoum, السودان,70117570,15.5635972,32.5349123
Kiev, Україна,205436729,50.4500336,30.5241361
Kigali, Rwanda,64434349,-1.950851,30.061507
Kingston, Jamaica,295727704,17.9712148,-76.7928128
Kingstown, Saint Vincent and the Grenadines,291217093,13.1561864,-61.2279621
